Generation	Average	Best
565	0.7853	0.96
566	0.7453	0.9619
567	0.719	0.9565
568	0.7277	0.96
569	0.764	0.9596
570	0.7312	0.9627
571	0.7708	0.9644
572	0.7348	0.9612
573	0.7231	0.9585
574	0.7158	0.9629
575	0.7204	0.9617
576	0.729	0.9581
577	0.7014	0.9619
578	0.7406	0.9599
579	0.7217	0.9592
580	0.7046	0.9608
581	0.711	0.966
582	0.7238	0.9586
583	0.7545	0.9596
584	0.7599	0.9594
585	0.7479	0.9608
586	0.7055	0.956
587	0.6897	0.9639
588	0.7199	0.9625
589	0.7232	0.9583
590	0.7604	0.9574
591	0.7386	0.9567
592	0.7672	0.9596
593	0.7416	0.958
594	0.7091	0.9564
595	0.7489	0.9634
596	0.7682	0.9428
597	0.7363	0.9569
598	0.684	0.9608
599	0.7439	0.9622
600	0.7664	0.9623
601	0.7908	0.9706
602	0.7735	0.9574
603	0.7429	0.9524
604	0.7086	0.9566
605	0.7268	0.9541
606	0.7268	0.9502
607	0.7673	0.9625
608	0.7343	0.9543
609	0.7797	0.9584
610	0.8069	0.968
611	0.76	0.9632
612	0.7697	0.9576
613	0.74	0.9479
614	0.717	0.9585
615	0.7224	0.959
616	0.7352	0.9583
617	0.7105	0.9429
618	0.7164	0.9359
619	0.7383	0.9507
620	0.7134	0.9578
621	0.7102	0.9469
622	0.6815	0.9612
623	0.7139	0.9504
624	0.7249	0.9475
625	0.6788	0.9502
626	0.6745	0.9388
627	0.6964	0.9379
628	0.6987	0.9508
629	0.7092	0.9543
630	0.754	0.9579
631	0.7628	0.962
632	0.7506	0.9612
633	0.7109	0.9545
634	0.714	0.9478
635	0.6647	0.9568
636	0.733	0.9482
637	0.7751	0.9527
638	0.7439	0.9489
639	0.7759	0.9527
640	0.792	0.9637
641	0.7902	0.9571
642	0.7644	0.9605
643	0.7383	0.9496
644	0.8009	0.9554
645	0.7616	0.9578
646	0.7164	0.948
647	0.7607	0.9475
648	0.6367	0.947
649	0.7289	0.9486
650	0.7052	0.9442
651	0.6958	0.938
652	0.7308	0.9575
653	0.7133	0.9474
654	0.7233	0.9548
655	0.7843	0.9535
656	0.7201	0.9422
657	0.7464	0.9507
658	0.7612	0.9492
659	0.7633	0.9448
660	0.7081	0.9502
661	0.7558	0.9571
662	0.7306	0.9592
663	0.699	0.9469
664	0.748	0.9547
665	0.7219	0.949
666	0.757	0.9572
667	0.7806	0.9597
668	0.7793	0.9657
669	0.7516	0.9558
670	0.8031	0.9635
671	0.7434	0.9573
672	0.7593	0.9616
673	0.6854	0.9591
674	0.7263	0.9605
675	0.7088	0.9644
676	0.6472	0.9459
677	0.679	0.9465
678	0.6821	0.9587
679	0.6328	0.9545
680	0.7317	0.9566
681	0.7716	0.962
682	0.7165	0.9542
683	0.7455	0.9635
684	0.7242	0.9624
685	0.762	0.9668
686	0.7519	0.9659
687	0.7347	0.9611
688	0.7488	0.9494
689	0.7636	0.957
690	0.7598	0.9588
691	0.7345	0.9609
692	0.7561	0.9498
693	0.7231	0.9275
694	0.6642	0.931
695	0.669	0.9301
696	0.7238	0.9387
697	0.7201	0.9324
698	0.7343	0.946
699	0.7576	0.9566
700	0.7661	0.9407
701	0.7712	0.9526
702	0.7372	0.9344
703	0.7235	0.9355
704	0.6909	0.9426
705	0.6758	0.9313
706	0.7431	0.9326
707	0.7496	0.9257
708	0.6985	0.9214
709	0.7274	0.94
710	0.7576	0.9507
711	0.7462	0.9237
712	0.7394	0.9266
713	0.7224	0.9188
714	0.668	0.9373
715	0.7057	0.9338
716	0.6932	0.9318
717	0.6683	0.9188
718	0.6754	0.9413
719	0.6859	0.924
720	0.6895	0.9187
721	0.7265	0.9157
722	0.7259	0.9212
723	0.7655	0.9134
724	0.7514	0.9156
725	0.7272	0.9346
726	0.7005	0.9182
727	0.7374	0.9295
728	0.7184	0.9185
729	0.6416	0.9051
730	0.6462	0.8962
731	0.6908	0.9214
732	0.6775	0.9234
733	0.7158	0.9216
734	0.7221	0.9321
735	0.703	0.9416
736	0.7339	0.9213
737	0.6993	0.9364
738	0.6909	0.9339
739	0.7279	0.9269
740	0.7546	0.9278
741	0.7404	0.9115
742	0.7397	0.93
743	0.7465	0.9357
744	0.7913	0.9091
745	0.7847	0.9038
746	0.7577	0.9033
747	0.7172	0.9012
748	0.7393	0.9039
749	0.6824	0.8961
750	0.7113	0.9076
751	0.7377	0.9114
752	0.7227	0.9239
753	0.7326	0.918
754	0.7424	0.9178
755	0.7354	0.9125
756	0.7429	0.9071
757	0.7126	0.9197
758	0.7326	0.9136
759	0.7279	0.9261
760	0.7373	0.9156
761	0.7334	0.9094
762	0.752	0.9165
763	0.7523	0.9261
764	0.7241	0.9269
765	0.7684	0.9226
766	0.7718	0.9387
767	0.7294	0.9118
768	0.6979	0.9146
769	0.7043	0.9122
770	0.7344	0.9259
771	0.6863	0.9147
772	0.7242	0.9334
773	0.7101	0.9281
774	0.7655	0.9353
775	0.8068	0.9406
776	0.7849	0.9378
777	0.8028	0.9272
778	0.766	0.9312
779	0.6992	0.9024
780	0.7393	0.9109
781	0.7221	0.9318
782	0.7338	0.934
783	0.7403	0.9423
784	0.6856	0.9391
785	0.7115	0.9545
786	0.715	0.9406
787	0.7381	0.9437
788	0.7282	0.9373
789	0.702	0.9447
790	0.7397	0.9363
791	0.7695	0.9342
792	0.8108	0.9445
793	0.7507	0.9467
794	0.701	0.9493
795	0.6588	0.9305
796	0.6465	0.9353
797	0.6636	0.9312
798	0.7085	0.9431
799	0.6968	0.9329
800	0.7231	0.9342
801	0.7091	0.9273
802	0.6819	0.947
803	0.7273	0.9455
804	0.7212	0.9404
805	0.7308	0.9421
806	0.7413	0.9415
807	0.7744	0.942
808	0.7687	0.935
809	0.7664	0.951
810	0.7401	0.9376
811	0.7159	0.938
812	0.7136	0.9355
813	0.7246	0.9377
814	0.7918	0.9283
815	0.759	0.9268
816	0.7261	0.9196
817	0.6928	0.9233
818	0.7232	0.9258
819	0.7159	0.9417
820	0.7934	0.9374
821	0.7611	0.9486
822	0.7572	0.9447
823	0.7485	0.9297
824	0.7459	0.9191
825	0.7279	0.9351
826	0.7258	0.924
827	0.6976	0.9275
828	0.6754	0.9204
829	0.681	0.9235
830	0.6924	0.9187
831	0.7247	0.9373
832	0.7107	0.9435
833	0.6549	0.9376
834	0.7052	0.9416
835	0.7408	0.94
836	0.7154	0.9593
837	0.7286	0.9584
838	0.7607	0.9424
839	0.8236	0.9532
840	0.7958	0.9597
841	0.7799	0.955
842	0.7908	0.9617
843	0.7193	0.9555
844	0.7494	0.9696
845	0.7698	0.9624
846	0.6946	0.962
847	0.7172	0.9591
848	0.7587	0.9409
849	0.7532	0.9488
850	0.7889	0.9391
851	0.7518	0.9635
852	0.7393	0.9553
853	0.7975	0.9659
854	0.7617	0.9698
855	0.8014	0.9627
856	0.7364	0.9691
857	0.7266	0.9452
858	0.7209	0.9526
859	0.7855	0.9517
860	0.7358	0.9566
861	0.7003	0.9427
862	0.7066	0.9516
863	0.7474	0.9529
864	0.6891	0.9579
865	0.7096	0.9533
866	0.7389	0.9482
867	0.732	0.9598
868	0.754	0.9583
869	0.7576	0.9615
870	0.7819	0.9608
871	0.7828	0.9638
872	0.7351	0.9584
873	0.7663	0.9676
874	0.7633	0.9638
875	0.7927	0.9633
876	0.7691	0.9569
877	0.7566	0.9564
878	0.7321	0.9611
879	0.7072	0.9585
880	0.7091	0.9518
881	0.7372	0.9625
882	0.7088	0.96
883	0.696	0.958
